Caseno/ Bail Ref no,BailStatus,HORef,StatusOfBail,DecisionDate,Final Bail Outcome,Destruction Date(if any),Last Comment,,,,,,,,,"SELECT t.caseno, t.amount, ac.Bailtype,Year(ac.DateReceived) as BailYear, max(s.CaseStatus) as BailStatus,max(s.CaseStatus)MAXID, max(h.comment) as Comment"
GW/06922,,,,,,Jan-38,,,,,,,,,,
GW/06923,,,,,,Jan-38,,,,,,,,,,
GW/06747,,,,,,Jan-38,,,,,,,,,,
GW/06898,,,,,,Jan-38,,,,,,,,,,
GW/06594,,,,,,Jan-38,,,,,,,,,,
GW/05819,,,,,,Jan-38,,,,,,,,,,
GW/06882,,,,,,Jan-38,,,,,,,,,,
GW/06202,,,,,,Jan-38,,,,,,,,,,
GW/06826,,,,,,Feb-38,,,,,,,,,,
GW/06787,,,,,,Feb-38,,,,,,,,,,
GW/06907,,,,,,Feb-38,,,,,,,,,,
GW/06848,,,,,,Feb-38,,,,,,,,,,
GW/06831,,,,,,Feb-38,,,,,,,,,,
GW/06613,,,,,,Feb-38,,,,,,,,,,
GW/06614,,,,,,Feb-38,,,,,,,,,,
PE/01727,,,,,,Feb-38,,,,,,,,,,
GW/06716,,,,,,Feb-38,,,,,,,,,,
GW/05201,,,,,,Feb-38,,,,,,,,,,
GW/06927,,,,,,Feb-38,,,,,,,,,,
GW/05575,,,,,,Feb-38,,,,,,,,,,
GW/06816,,,,,,Feb-38,,,,,,,,,,
GW/06841,,,,,,Feb-38,,,,,,,,,,
PE/01729,,,,,,Feb-38,,,,,,,,,,
GW/06767,,,,,,Feb-38,,,,,,,,,,
GW/06931,,,,,,Feb-38,,,,,,,,,,
GW/04313,,,,,,Feb-38,,,,,,,,,,
GW/06911,,,,,,Feb-38,,,,,,,,,,
GW/06483,,,,,,Mar-38,,,,,,,,,,
GW/06866,,,,,,Mar-38,,,,,,,,,,
GW/06916,,,,,,Mar-38,,,,,,,,,,
GW/06795,,,,,,Mar-38,,,,,,,,,,
GW/06749,,,,,,Mar-38,,,,,,,,,,
GW/06915,,,,,,Mar-38,,,,,,,,,,
GW/06914,,,,,,Mar-38,,,,,,,,,,
GW/06874,,,,,,Mar-38,,,,,,,,,,
GW/06855,,,,,,Mar-38,,,,,,,,,,
GW/06852,,,,,,Mar-38,,,,,,,,,,
HT/05297,,,,,,Mar-38,,,,,,,,,,
GW/06657,,,,,,Mar-38,,,,,,,,,,
GW/05676,,,,,,Mar-38,,,,,,,,,,
GW/06745,,,,,,Mar-38,,,,,,,,,,
GW/06875,,,,,,Mar-38,,,,,,,,,,
GW/06868,,,,,,Mar-38,,,,,,,,,,
GW/06870,,,,,,Mar-38,,,,,,,,,,
GW/06859,,,,,,Mar-38,,,,,,,,,,
GW/06883,,,,,,Mar-38,,,,,,,,,,
GW/06906,,,,,,Mar-38,,,,,,,,,,
GW/06707,,,,,,Mar-38,,,,,,,,,,
GW/06901,,,,,,Mar-38,,,,,,,,,,
HT/05204,,,,,,Mar-38,,,,,,,,,,
GW/05072,,,,,,Apr-38,,,,,,,,,,
GW/06715,,,,,,Apr-38,,,,,,,,,,
GW/06834,,,,,,Apr-38,,,,,,,,,,
GW/06926,,,,,,Apr-38,,,,,,,,,,
GW/06865,,,,,,Apr-38,,,,,,,,,,
GW/06899,,,,,,Apr-38,,,,,,,,,,
GW/06798,,,,,,Apr-38,,,,,,,,,,
GW/06827,,,,,,Apr-38,,,,,,,,,,
GW/06854,,,,,,Apr-38,,,,,,,,,,
GW/06796,,,,,,Apr-38,,,,,,,,,,
BH/06143,,,,,,Apr-38,,,,,,,,,,
GW/06497,,,,,,Apr-38,,,,,,,,,,
GW/06904,,,,,,Apr-38,,,,,,,,,,
GW/06832,,,,,,Apr-38,,,,,,,,,,
GW/06457,,,,,,Apr-38,,,,,,,,,,
GW/06193,,,,,,Apr-38,,,,,,,,,,
GW/06791,,,,,,Apr-38,,,,,,,,,,
GW/06920,,,,,,Apr-38,,,,,,,,,,
GW/06849,,,,,,Apr-38,,,,,,,,,,
GW/06843,,,,,,May-38,,,,,,,,,,
GW/06895,,,,,,May-38,,,,,,,,,,
GW/04884,,,,,,May-38,,,,,,,,,,
GW/06618,,,,,,May-38,,,,,,,,,,
GW/06903,,,,,,May-38,,,,,,,,,,
GW/06809,,,,,,May-38,,,,,,,,,,
GW/06279,,,,,,May-38,,,,,,,,,,
GW/06839,,,,,,May-38,,,,,,,,,,
GW/04812,,,,,,May-38,,,,,,,,,,
GW/06864,,,,,,May-38,,,,,,,,,,
GW/06890,,,,,,May-38,,,,,,,,,,
GW/06245,,,,,,May-38,,,,,,,,,,
GW/05379,,,,,,Jun-38,,,,,,,,,,
GW/05420,,,,,,Jun-38,,,,,,,,,,
GW/05479,,,,,,Jun-38,,,,,,,,,,
GW/06878,,,,,,Jul-38,,,,,,,,,,
GW/06896,,,,,,Jul-38,,,,,,,,,,
GW/05640,,,,,,Jul-38,,,,,,,,,,
GW/06790,,,,,,Aug-38,,,,,,,,,,
GW/06734,,,,,,Oct-38,,,,,,,,,,
GW/06800,,,,,,Oct-38,,,,,,,,,,
CH/04604,,,,,,Nov-38,,,,,,,,,,
GW/05712,,,,,,Dec-38,,,,,,,,,,
GW/06362,,,,,,Feb-39,,,,,,,,,,
GL/00050/98,,,,,,Feb-39,,,,,,,,,,
,,,,,,,,,,,,,,,,
Not live bundle:,,,,,,,,,,,,,,,,
GW/01001,,,Awaiting return of security deposit,,,Aug-19,,,,,,,,,,
GW/02091,,,Awaiting return of security deposit,,,Jan-20,,,,,,,,,,
GW/00779,,,Awaiting return of security deposit,,,Mar-23,,,,,,,,,,
GW/01838,,,Awaiting return of security deposit,,,Nov-26,,,,,,,,,,
HC/08001,,,Awaiting return of security deposit,,,Nov-27,,,,,,,,,,
GW/04481,,,Awaiting return of security deposit,,,Feb-32,,,,,,,,,,
GW/04309,,,Awaiting return of security deposit,,,Sep-34,,,,,,,,,,
GW/06051,,,Awaiting return of security deposit,,,Feb-36,,,,,,,,,,
GW/06434,,,Awaiting return of security deposit,,,Oct-36,,,,,,,,,,
GW/06867,,,Awaiting return of security deposit,,,Nov-36,,,,,,,,,,
GW/06433,,,Awaiting return of security deposit,,,Mar-37,,,,,,,,,,
GW/05784,,,Awaiting return of security deposit,,,Mar-37,,,,,,,,,,
GW/06821,,,Awaiting return of security deposit,,,Oct-37,,,,,,,,,,
GW/04404,,,Awaiting return of security deposit,,,May-38,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Live bundle:,,,,,,,,,,,,,,,,
GL/060/98,,,Awaiting return of security deposit,,,,,,,,,,,,,
GW/01220,,,Awaiting return of security deposit,,,Nov-19,,,,,,,,,,
GL/00079,,,Awaiting return of security deposit,,,Dec-19,,,,,,,,,,
GL/00062,,,Awaiting return of security deposit,,,Jan-20,,,,,,,,,,
GW/00460,,,Awaiting return of security deposit,,,Jan-20,,,,,,,,,,
GL/00264,,,Awaiting return of security deposit,,,Sep-20,,,,,,,,,,
GW/00132,,,Awaiting return of security deposit,,,Jan-21,,,,,,,,,,
GW/00369,,,Awaiting return of security deposit,,,Nov-21,,,,,,,,,,
GW/00437,,,Awaiting return of security deposit,,,Feb-22,,,,,,,,,,
GW/00516,,,Awaiting return of security deposit,,,May-22,,,,,,,,,,
GW/00502,,,Awaiting return of security deposit,,,May-22,,,,,,,,,,
GW/00461,,,Awaiting return of security deposit,,,Sep-22,,,,,,,,,,
GW/00694,,,Awaiting return of security deposit,,,Oct-22,,,,,,,,,,
GW/00995,,,Awaiting return of security deposit,,,Mar-24,,,,,,,,,,
GW/00981,,,Awaiting return of security deposit,,,Dec-24,,,,,,,,,,
GW/01286,,,Awaiting return of security deposit,,,Mar-25,,,,,,,,,,
GW01348,,,Awaiting return of security deposit,,,Jun-25,,,,,,,,,,
GW01349,,,Awaiting return of security deposit,,,Jun-25,,,,,,,,,,
GW01347,,,Awaiting return of security deposit,,,Jun-25,,,,,,,,,,
Unknown,,,Awaiting return of security deposit,,,Aug-28,Case number unknown. Name - Asif Al Ghazourri,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,
