Caseno/ Bail Ref no,BailStatus,HORef,StatusOfBail,DecisionDate,Final Bail Outcome,Destruction Date(if any),Last Comment,,,,,,,,,"SELECT t.caseno, t.amount, ac.Bailtype,Year(ac.DateReceived) as BailYear, max(s.CaseStatus) as BailStatus,max(s.CaseStatus)MAXID, max(h.comment) as Comment"
GW/01207,,,,,,Nov-24,,,,,,,,,,
GW/01007,,,,,,Nov-24,,,,,,,,,,
GW/01153,,,,,,Nov-24,,,,,,,,,,
GW/01163,,,,,,Nov-24,,,,,,,,,,
GL/00265,,,,,,Nov-24,,,,,,,,,,
GW/00403,,,,,,Nov-24,,,,,,,,,,
GW/00163,,,,,,Nov-24,,,,,,,,,,
GW/00129,,,,,,Nov-24,,,,,,,,,,
GW/01124,,,,,,Nov-24,,,,,,,,,,
GW/01079,,,,,,Dec-24,,,,,,,,,,
BY/00735,,,,,,Dec-24,,,,,,,,,,
GW/00563,,,,,,Dec-24,,,,,,,,,,
GW/01233,,,,,,Dec-24,,,,,,,,,,
GW/01226,,,,,,Dec-24,,,,,,,,,,
GW/00216,,,,,,Dec-24,,,,,,,,,,
GW/01225,,,,,,Dec-24,,,,,,,,,,
GW/00738,,,,,,Dec-24,,,,,,,,,,
GW/04623,,,,,,Jan-25,,,,,,,,,,
GW/00412,,,,,,Jan-25,,,,,,,,,,
GW/01042,,,,,,Jan-25,,,,,,,,,,
GW/01145,,,,,,Jan-25,,,,,,,,,,
GW/01261,,,,,,Feb-25,,,,,,,,,,
GL/00021,,,,,,Feb-25,,,,,,,,,,
GW/01224,,,,,,Feb-25,,,,,,,,,,
GW/01229,,,,,,Feb-25,,,,,,,,,,
GW/00507,,,,,,Feb-25,,,,,,,,,,
GW/01192,,,,,,Feb-25,,,,,,,,,,
GW/00323,,,,,,Mar-25,,,,,,,,,,
GW/00670,,,,,,Mar-25,,,,,,,,,,
GW/01117,,,,,,Mar-25,,,,,,,,,,
GW/01213,,,,,,Mar-25,,,,,,,,,,
GW/01232,,,,,,Mar-25,,,,,,,,,,
GW/01271,,,,,,Mar-25,,,,,,,,,,
GL/00293,,,,,,Mar-25,,,,,,,,,,
GW/00407,,,,,,Mar-25,,,,,,,,,,
GW/00595,,,,,,Apr-25,,,,,,,,,,
GW/00979,,,,,,Apr-25,,,,,,,,,,
GW/01160,,,,,,Apr-25,,,,,,,,,,
GW/01125,,,,,,Apr-25,,,,,,,,,,
GW/01066,,,,,,Apr-25,,,,,,,,,,
GW/00914,,,,,,Apr-25,,,,,,,,,,
GW/01308,,,,,,May-25,,,,,,,,,,
GW/01300,,,,,,May-25,,,,,,,,,,
GL/00304,,,,,,May-25,,,,,,,,,,
GW/01236,,,,,,May-25,,,,,,,,,,
GW/01147,,,,,,May-25,,,,,,,,,,
GW/00727,,,,,,Jun-25,,,,,,,,,,
GL/00153,,,,,,Jun-25,,,,,,,,,,
GW/01231,,,,,,Jun-25,,,,,,,,,,
GW/01353,,,,,,Jul-25,,,,,,,,,,
GW/01210,,,,,,Jul-25,,,,,,,,,,
GW/01334,,,,,,Jul-25,,,,,,,,,,
GL/00277,,,,,,Jul-25,,,,,,,,,,
GW/01262,,,,,,Jul-25,,,,,,,,,,
GW/05194,,,,,,Aug-25,,,,,,,,,,
GW/00451,,,,,,Aug-25,,,,,,,,,,
GW/01360,,,,,,Sep-25,,,,,,,,,,
GL/038/97,,,,,,Sep-25,,,,,,,,,,
GW/01402,,,,,,Sep-25,,,,,,,,,,
GW/01406,,,,,,Sep-25,,,,,,,,,,
GW/01299,,,,,,Sep-25,,,,,,,,,,
GW/01290,,,,,,Sep-25,,,,,,,,,,
GW/00798,,,,,,Sep-25,,,,,,,,,,
GW/01272,,,,,,Sep-25,,,,,,,,,,
GW/01297,,,,,,Oct-25,,,,,,,,,,
GW/00160,,,,,,Oct-25,,,,,,,,,,
GW/01367,,,,,,Oct-25,,,,,,,,,,
GW/01358,,,,,,Oct-25,,,,,,,,,,
GW/00744,,,,,,Oct-25,,,,,,,,,,
GL/00114,,,,,,Oct-25,,,,,,,,,,
GW/01420,,,,,,Oct-25,,,,,,,,,,
GW/01429,,,,,,Nov-25,,,,,,,,,,
GW/01421,,,,,,Nov-25,,,,,,,,,,
GW/01465,,,,,,Nov-25,,,,,,,,,,
GW/00490,,,,,,Nov-25,,,,,,,,,,
HC/03926,,,,,,Nov-25,,,,,,,,,,
GW/00194,,,,,,Nov-25,,,,,,,,,,
BE/00136,,,,,,Nov-25,,,,,,,,,,
GW/00906,,,,,,Nov-25,,,,,,,,,,
GW/01365,,,,,,Nov-25,,,,,,,,,,
GW/00448,,,,,,Dec-25,,,,,,,,,,
GW/01542,,,,,,Jan-26,,,,,,,,,,
GW/01110,,,,,,Feb-26,,,,,,,,,,
GW/01510,,,,,,Feb-26,,,,,,,,,,
GW/01469,,,,,,Feb-26,,,,,,,,,,
GW/01119,,,,,,Mar-26,,,,,,,,,,
GW/01443,,,,,,Mar-26,,,,,,,,,,
GW/01576,,,,,,Mar-26,,,,,,,,,,
GW/01555,,,,,,Mar-26,,,,,,,,,,
GW/01579,,,,,,Apr-26,,,,,,,,,,
GW/01475,,,,,,Apr-26,,,,,,,,,,
GL/00027,,,,,,Apr-26,,,,,,,,,,
GW/01375,,,,,,May-26,,,,,,,,,,
GW/01487,,,,,,May-26,,,,,,,,,,
GW/01578,,,,,,May-26,,,,,,,,,,
GW/01625,,,,,,May-26,,,,,,,,,,
GW/01260,,,,,,May-26,,,,,,,,,,
GW/01480,,,,,,May-26,,,,,,,,,,
GW/01466,,,,,,May-26,,,,,,,,,,
GW/01562,,,,,,May-26,,,,,,,,,,
GW/00782,,,,,,May-26,,,,,,,,,,
GW/00828,,,,,,Jun-26,,,,,,,,,,
GW/01668,,,,,,Jun-26,,,,,,,,,,
GW/01283,,,,,,Jun-26,,,,,,,,,,
GW/01631,,,,,,Jun-26,,,,,,,,,,
GW/01512,,,,,,Jun-26,,,,,,,,,,
GW/01642,,,,,,Jun-26,,,,,,,,,,
GW/00892,,,,,,Jun-26,,,,,,,,,,
GW/01336,,,,,,Jun-26,,,,,,,,,,
GW/01637,,,,,,Jul-26,,,,,,,,,,
GW/01444,,,,,,Jul-26,,,,,,,,,,
GW/01477,,,,,,Jul-26,,,,,,,,,,
GW/01626,,,,,,Jul-26,,,,,,,,,,
GW/00793,,,,,,Aug-26,,,,,,,,,,
GW/01248,,,,,,Aug-26,,,,,,,,,,
GW/01697,,,,,,Aug-26,,,,,,,,,,
GW/01477,,,,,,Aug-26,,,,,,,,,,
GW/01630,,,,,,Aug-26,,,,,,,,,,
GW/01531,,,,,,Aug-26,,,,,,,,,,
GW/00842,,,,,,Aug-26,,,,,,,,,,
GW/01686,,,,,,Aug-26,,,,,,,,,,
GW/01617,,,,,,Sep-26,,,,,,,,,,
GW/01779,,,,,,Sep-26,,,,,,,,,,
GW/01750,,,,,,Sep-26,,,,,,,,,,
GL/013/98,,,,,,Sep-26,,,,,,,,,,
GW/01786,,,,,,Sep-26,,,,,,,,,,
GW/01753,,,,,,Sep-26,,,,,,,,,,
GW/01288,,,,,,Sep-26,,,,,,,,,,
GW/01690,,,,,,Oct-26,,,,,,,,,,
GW/01680,,,,,,Oct-26,,,,,,,,,,
GW/01572,,,,,,Oct-26,,,,,,,,,,
GW/01561,,,,,,Oct-26,,,,,,,,,,
GW/01403,,,,,,Oct-26,,,,,,,,,,
HC/02570,,,,,,Oct-26,,,,,,,,,,
GW/01819,,,,,,Nov-26,,,,,,,,,,
GW/01641,,,,,,Nov-26,,,,,,,,,,
GW/01724,,,,,,Nov-26,,,,,,,,,,
BH/00497,,,,,,Nov-26,,,,,,,,,,
GW/01751,,,,,,Nov-26,,,,,,,,,,
GW/01715,,,,,,Nov-26,,,,,,,,,,
GW/01796,,,,,,Nov-26,,,,,,,,,,
GW/01152,,,,,,Dec-26,,,,,,,,,,
gw01381,,,,,,Nov-26,,,,,,,,,,
GW01852,,,,,,Nov-26,,,,,,,,,,
GW01732,,,,,,Nov-26,,,,,,,,,,
GW01746,,,,,,Nov-26,,,,,,,,,,
BH02215,,,,,,Nov-26,,,,,,,,,,
GW01511,,,,,,Dec-26,,,,,,,,,,
GW01080,,,,,,Dec-26,,,,,,,,,,
BH02202,,,,,,Dec-26,,,,,,,,,,
GW01764,,,,,,Dec-26,,,,,,,,,,
GW01864,,,,,,Dec-26,,,,,,,,,,
GW01615,,,,,,Dec-26,,,,,,,,,,
GW01115,,,,,,Dec-26,,,,,,,,,,
GW01708,Dec,,,,,Dec-26,,,,,,,,,,
GW01494,,,,,,Jan-27,,,,,,,,,,
GW00845,,,,,,Jan-27,,,,,,,,,,
GW01661,,,,,,Jan-27,,,,,,,,,,
GW01702,,,,,,Jan-27,,,,,,,,,,
GW01741,,,,,,Jan-27,,,,,,,,,,
GW01681,,,,,,Jan-27,,,,,,,,,,
GW/01677,,,,,,Jan-27,,,,,,,,,,
GW/01947,,,,,,Feb-27,,,,,,,,,,
GW/01054,,,,,,Feb-27,,,,,,,,,,
GL/00050,,,,,,Feb-27,,,,,,,,,,
GW00136,,,,,,Dec-27,,,,,,,,,,
